127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000209
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.014580
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000436
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000766
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000210
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003692
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001832
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003222
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001424
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000327
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.026581
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001272
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000955
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.034570
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.032120
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054292
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.038926
127.0.0.1, 2014-03-24 13:54:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.177189
127.0.0.1, 2014-03-24 13:54:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.241685
127.0.0.1, 2014-03-24 13:55:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.386022
127.0.0.1, 2014-03-24 13:55:05, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2014-03-24 13:55:11, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.040970
127.0.0.1, 2014-03-24 13:55:11, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.033480
127.0.0.1, 2014-03-24 13:55:11, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.025601
127.0.0.1, 2014-03-24 13:55:11, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.055866
127.0.0.1, 2014-03-24 13:55:11, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.040160
127.0.0.1, 2014-03-24 13:55:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080856
127.0.0.1, 2014-03-24 13:55:19, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.041457
127.0.0.1, 2014-03-24 13:55:21, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.079196
127.0.0.1, 2014-03-24 13:55:25, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.040414
127.0.0.1, 2014-03-24 13:55:27, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.088167
127.0.0.1, 2014-03-24 13:55:28, GET, /admin/default/site, HTTP/1.1, 200, 0.040215
